	id	sentence1	sentence2	similarity
8615	6d0ec4e8a34ac432e1c1699a0	13 killed in Afgan terror attack	6 killed in Afghan capital mosque attack	2.0
7087	9aaabdce8cfff4c060b6f525c	China to resume US investment talks	China and Taiwan hold historic talks	0.8
8201	a70c8ad3f82ac2967f78fe617	But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.	But in the first 30 seconds of the bout, family members knew it was an uneven match, Jodie Meyers, Stacy Young's sister, said.	4.2
7821	a89ed469c8f2f81313d190e66	A yellow vested person is doing road work.	A person is doing very well on their skateboard.	0.2
201	9ee4d44188c33f4e7d899e690	Someone is slicing tortila's.	Someone is riding a horse.	0.0
3538	252ebec695ca7efc2d2186f8f	capital offenses in saudi arabia include rape, murder, apostasy, armed robbery and drug trafficking. 	capital offences in iran include murder, rape, armed robbery, serious drug trafficking and adultery.	3.2
7936	f4c5e3b0acd70cbfa99b58ac2	No it does not affect your ratings.	No it is not.	0.0
4396	e62472eeda1415a3a6cca9e9a	Hundreds of Bangladesh clothes factory workers ill	Hundreds fall sick in Bangladesh factory	4.4
6453	55c4f22268e4df59ad90b43c0	"In standard English, I think ""don't got"" has the same register as ""ain't""."	I'd say the expression I don't got... is generally rare in spoken AmE.	2.2
1388	9753582bf8f5894a65f74ab24	A young girl wearing a bike helmet with a bicycle in the background.	A women holds a small dog on a leash with chairs in the background.	0.0
7079	c1d4c321df9c34dc9087956f9	Iraq Releases Suspected Hezbollah Operative Wanted By U.S.	Iraq Said to Release Hezbollah Operative	3.2
8546	d0e17fa72682baae10bd9271e	Red-shirt leader calls not to oppose army	Oil rig spat: Beijing not to send army	0.6
3598	1b745f7ac85a2f7828a4f0c7f	the russian government strongly opposes u.s. plans to install antimissile defenses in europe and dismisses u.s. assertions that the interceptors are needed to defend against threats from iran. 	after talks at nato headquarters baluyevsky repeated russia's opposition to u.s. plans to install antimissile defenses in europe and dismissed u.s. assertions that the interceptors were needed to defend against potential threats from iran.	3.2
5664	3b80f4d4302d32366c50a41c6	China on high alert for typhoon Kalmaegi	China issues yellow alert for typhoon Kalmaegi	4.0
3146	f497d4e8209b315d273540296	Kroger Co., which owns Ralphs, and Albertsons Inc. bargain jointly with Safeway and locked out their union workers the next day.	In a show of corporate solidarity, Kroger Co., which owns Ralphs, and Albertson Inc. locked out their workers the next morning.	3.8
3132	72614c3590fe5c74089ef2269	"Sobig.F spreads when unsuspecting computer users open file attachments in emails that contain such familiar headings as ""Thank You!,"" ""Re: Details"" or ""Re: That Movie."""	"The virus spreads when unsuspecting computer users open file attachments in emails that contain familiar headings like ""Thank You!"" and ""Re: Details""."	4.0
5012	d509c59ebeb8297b8c23d65df	Iranian president makes debut on world stage	Iran presidential candidate says western sanctions should be broken	0.6
7811	9a1b95e6af0cddccb90f5f276	A kid is talking in class.	A girl is going to class.	1.8
2465	57faf6247b1b6026f59ca71f0	Microsoft acquired Virtual PC when it bought the assets of Connectix earlier this year.	Microsoft acquired Virtual PC from its developer, Connectix, earlier this year.	4.4
6611	6597fc84528eea44f45c16fed	I can imagine a scenario where a single all powerful god create the universe that we know of.	It is the same idea as what Aristotle called the unmoved mover.	0.8
467	fa8a49a239d979dc97018eced	A cat is drinking some water.	A truck is going down a hill.	0.0
897	17d7cc03612e87755bc8b7703	A woman is doing a joker make up on a man.	The girl applied face makeup to a man.	1.8
5704	1c3f78ea655e6bf9bf6391a24	Taiwan coast guard launches new ships as South China Sea tensions rise	Chinese military reaches out amid South China Sea tensions	2.0
3049	a4a2b8a3bcac3379320238bfc	"""Whatever has happened to you by way of punishment is certainly more than enough,"" Covello told the 49-year-old, whose family, friends and supporters filled half the courtroom."	"""What has happened to you, sir, by way of punishment, is certainly more than enough,"" Covello said."	3.0
416	3f33ec9a088d92efb5dfbddf2	A person is peeling a potato.	A cat is licking a small bottle.	0.0
2919	27b649cdc3bd975e3d569516a	He was listed last night in critical but stable condition at Kings County Hospital Center, police said.	That victim, a New Jersey resident, was in critical but stable condition at the hospital.	3.25
3544	bc222e5c6f35763498b824bb3	government spokesman maseko stated that if administrative papers are in order the government of south africa cannot intervene to prevent weapons from being transported through its territory to a neighboring landlocked country. 	spokesman themba maseko stated as long as administrative papers are in order south africa cannot intervene to prevent weapons being transported through south african territory to zimbabwe.	2.8
2567	653f351ead54e66f44f50d204	The tech-heavy Nasdaq Stock Markets composite index added 1.16 points to 1,504.04.	The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.	2.2
2669	a425a49569534babf386a2fce	American Masters: Arthur Miller, Elia Kazan and the Blacklist: None Without Sin (Wed.	"Note the subheading of this terrible parable in the ""American Masters"" series, ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin."""	3.0
5402	9ef2444e774e5b640e71220e0	Yolanda death toll climbs to 3,621	Kenya Red Cross says death toll rises to 68	0.4
4286	299789f0509ba3ef1d808b166	Syrian forces move to retake Aleppo	Syrian Regime Bids To Retake City Of Aleppo	4.4
2585	0517f177d5dfdf59f461d8e0e	"""Three Weeks in October"" goes on sale Monday, nearly a year after the Washington, D.C.-area sniper shootings started."	Moose's book goes on sale Monday, nearly a year after the sniper shootings started in the Washington area.	3.25
8105	ac9673ac6be08f5567b78d6f7	Microwave would be your best bet.	Your best bet is research.	0.0
5723	eadf9cb8eaae282352e0fc72f	China's generous 1MDB bid seen reaping it big returns in Malaysia	China keeps an eye on visiting tiger freed by Russian President	0.0
7449	7770ac29a127d2046e58d1518	The woman is slicing tofu.	The woman is putting on lipstick.	0.4
3480	e040c99df3a15cea6c43368aa	general nikolai n. urakov stated by telephone that the state scientific center of applied microbiology has quite reliable systems of protection in case of emergency. 	general nikolai n. urakov is the longtime director of the the state scientific center of applied microbiology.	2.4
2712	8c79eea6b20e1202fca9bacc8	Cisco has signed similar deals with AT&T Corp. T.N , SBC Communications Inc. SBC.N and Sprint Corp. FON.N .	Cisco has similar relationships with BellSouth competitors SBC Communications, AT&T and Sprint Communications.	4.0
7424	3ec3041ac990c7cf135d9bb07	A man is kicking a soccer ball.	A man is performing tricks with a soccer ball.	2.6
